Chromosome,Region,Name,CenterOfPeak,Length,PeakShapeScore,P-value,5'gene,5'distance,3'gene,3'distance
NCTC8325 Genomic sequence,888604..888904,Peak,888744,301,48.01988013,0,SAOUHSC_00916,0,SAOUHSC_00917,243
NCTC8325 Genomic sequence,599731..600046,Peak,599871,316,50.96880119,0,SAOUHSC_00607,0,SAOUHSC_00608,221
NCTC8325 Genomic sequence,1863808..1864104,Peak,1863948,297,54.78047624,0,SAOUHSC_01957,738,SAOUHSC_T00050,207
NCTC8325 Genomic sequence,1072908..1073316,Peak,1073047,409,37.50751967,3.47E-308,SAOUHSC_01113,93,SAOUHSC_01114,0
NCTC8325 Genomic sequence,2628478..2628764,Peak,2628625,287,37.50029948,4.55E-308,SAOUHSC_02855,36,SAOUHSC_02856,0
NCTC8325 Genomic sequence,1728331..1728646,Peak,1728507,316,37.48666169,7.60E-308,SAOUHSC_01821,555,tpx,0
NCTC8325 Genomic sequence,977438..977729,Peak,977590,292,37.45806173,2.22E-307,SAOUHSC_01003,447,SAOUHSC_01005,0
NCTC8325 Genomic sequence,2611176..2611466,Peak,2611315,291,37.43337346,5.60E-307,SAOUHSC_02833,0,SAOUHSC_02834,485
NCTC8325 Genomic sequence,1587546..1587850,Peak,1587686,305,37.42247866,8.42E-307,SAOUHSC_01676,670,SAOUHSC_01677,0
NCTC8325 Genomic sequence,1318126..1318405,Peak,1318266,280,37.38856564,3.00E-306,SAOUHSC_01373,0,SAOUHSC_01374,0
NCTC8325 Genomic sequence,749649..749931,Peak,749792,283,37.28636376,1.37E-304,SAOUHSC_00767,122,secA,8
NCTC8325 Genomic sequence,1176369..1176688,Peak,1176549,320,37.20837131,2.50E-303,SAOUHSC_01223,12,SAOUHSC_01224,84
NCTC8325 Genomic sequence,2567161..2567446,Peak,2567307,286,37.1488838,2.29E-302,SAOUHSC_02793,52,SAOUHSC_02794,0
NCTC8325 Genomic sequence,650222..650545,Peak,650362,324,37.14225504,2.92E-302,SAOUHSC_00662,0,SAOUHSC_00663,0
NCTC8325 Genomic sequence,1834479..1834824,Peak,1834614,346,37.13596773,3.69E-302,SAOUHSC_01930,643,SAOUHSC_01931,0
NCTC8325 Genomic sequence,275594..275887,Peak,275734,294,37.08431567,2.51E-301,SAOUHSC_00255,946,SAOUHSC_00256,0
NCTC8325 Genomic sequence,1541592..1541981,Peak,1541842,390,37.07141096,4.06E-301,SAOUHSC_01615,425,SAOUHSC_01617,0
NCTC8325 Genomic sequence,1327530..1327814,Peak,1327670,285,37.06297021,5.55E-301,SAOUHSC_01383,0,SAOUHSC_01384,0
NCTC8325 Genomic sequence,299073..299374,Peak,299235,302,36.99655841,6.50E-300,SAOUHSC_00282,387,SAOUHSC_00284,0
NCTC8325 Genomic sequence,1260795..1261102,Peak,1260963,308,36.94415686,4.52E-299,SAOUHSC_01316,905,SAOUHSC_01317,0
NCTC8325 Genomic sequence,2128672..2128988,Peak,2128849,317,36.82852833,3.23E-297,SAOUHSC_02294,348,SAOUHSC_02296,0
NCTC8325 Genomic sequence,2423929..2424222,Peak,2424069,294,36.82780838,3.31E-297,SAOUHSC_02636,31,SAOUHSC_02638,0
NCTC8325 Genomic sequence,2344470..2344754,Peak,2344610,285,36.82478377,3.71E-297,SAOUHSC_02547,788,SAOUHSC_02549,0
NCTC8325 Genomic sequence,1276328..1276610,Peak,1276471,283,36.80621723,7.34E-297,SAOUHSC_01336,0,SAOUHSC_01337,53
NCTC8325 Genomic sequence,2079753..2080054,Peak,2079893,302,36.77380005,2.42E-296,SAOUHSC_02244,308,SAOUHSC_02245,0
NCTC8325 Genomic sequence,2149729..2150113,Peak,2149869,385,36.74441471,7.14E-296,SAOUHSC_02316,41,SAOUHSC_02317,90
NCTC8325 Genomic sequence,2610215..2610506,Peak,2610355,292,36.72779891,1.32E-295,SAOUHSC_02831,115,SAOUHSC_02832,0
NCTC8325 Genomic sequence,1425998..1426297,Peak,1426138,300,36.70680182,2.84E-295,SAOUHSC_01470,15,asnC,12
NCTC8325 Genomic sequence,1812131..1812547,Peak,1812408,417,36.62595361,5.53E-294,SAOUHSC_01901,255,SAOUHSC_01902,0
NCTC8325 Genomic sequence,2502293..2502614,Peak,2502475,322,36.61990048,6.90E-294,SAOUHSC_02719,310,SAOUHSC_02720,0
NCTC8325 Genomic sequence,2530490..2530800,Peak,2530630,311,36.56970851,4.34E-293,SAOUHSC_02752,21,SAOUHSC_02753,123
NCTC8325 Genomic sequence,675674..676061,Peak,675814,388,36.56229921,5.69E-293,SAOUHSC_00690,1036,SAOUHSC_00691,0
NCTC8325 Genomic sequence,2474399..2474760,Peak,2474621,362,36.47948128,1.17E-291,SAOUHSC_02687,198,SAOUHSC_02688,0
NCTC8325 Genomic sequence,709742..710159,Peak,710020,418,36.46707656,1.85E-291,SAOUHSC_00727,62,SAOUHSC_00728,0
NCTC8325 Genomic sequence,1281724..1282072,Peak,1281862,349,36.45300622,3.08E-291,SAOUHSC_01343,0,SAOUHSC_1342a,1984
NCTC8325 Genomic sequence,1802141..1802434,Peak,1802281,294,36.23930675,7.32E-288,SAOUHSC_01889,217,SAOUHSC_01890,8
NCTC8325 Genomic sequence,263568..263855,Peak,263717,288,36.06765541,3.65E-285,SAOUHSC_00243,0,SAOUHSC_00244,0
NCTC8325 Genomic sequence,1274742..1275063,Peak,1274924,322,36.05129709,6.58E-285,SAOUHSC_01332,63,SAOUHSC_01333,0
NCTC8325 Genomic sequence,366347..366642,Peak,366487,296,36.0315194,1.34E-284,SAOUHSC_00356,351,SAOUHSC_00357,0
NCTC8325 Genomic sequence,1788467..1788804,Peak,1788665,338,35.99831044,4.45E-284,SAOUHSC_01873,324,SAOUHSC_01874,0
NCTC8325 Genomic sequence,1809724..1810100,Peak,1809864,377,35.99761996,4.56E-284,SAOUHSC_01898,362,SAOUHSC_01899,0
NCTC8325 Genomic sequence,1590097..1590406,Peak,1590267,310,35.9956615,4.89E-284,SAOUHSC_01679,461,SAOUHSC_01680,0
NCTC8325 Genomic sequence,2235942..2236257,Peak,2236082,316,35.8951529,1.82E-282,SAOUHSC_02406,791,SAOUHSC_02407,0
NCTC8325 Genomic sequence,805904..806195,Peak,806043,292,35.88100672,3.02E-282,SAOUHSC_00827,661,SAOUHSC_00828,0
NCTC8325 Genomic sequence,663898..664315,Peak,664176,418,35.8675806,4.89E-282,SAOUHSC_00673,0,SAOUHSC_00674,0
NCTC8325 Genomic sequence,2204060..2204378,Peak,2204200,319,35.81244041,3.54E-281,SAOUHSC_02382,7,SAOUHSC_02383,131
NCTC8325 Genomic sequence,2379872..2380174,Peak,2380037,303,35.77879511,1.18E-280,SAOUHSC_02588,0,SAOUHSC_02589,334
NCTC8325 Genomic sequence,2366358..2366661,Peak,2366523,304,35.73059815,6.62E-280,SAOUHSC_02575,0,SAOUHSC_02576,56
NCTC8325 Genomic sequence,1253477..1253828,Peak,1253617,352,35.71149034,1.31E-279,SAOUHSC_01307,43,SAOUHSC_1307a,0
NCTC8325 Genomic sequence,1316719..1317034,Peak,1316858,316,35.70535096,1.63E-279,trpA,0,SAOUHSC_01373,41
NCTC8325 Genomic sequence,791919..792221,Peak,792059,303,35.69659737,2.23E-279,SAOUHSC_00810,0,SAOUHSC_00811,0
NCTC8325 Genomic sequence,2192492..2192777,Peak,2192638,286,35.68720332,3.12E-279,pyrG,822,SAOUHSC_02369,0
NCTC8325 Genomic sequence,2403370..2403655,Peak,2403516,286,35.57580414,1.66E-277,SAOUHSC_02611,679,SAOUHSC_02612,0
NCTC8325 Genomic sequence,466486..466775,Peak,466637,290,35.53276435,7.67E-277,SAOUHSC_00465,21,ipk,0
NCTC8325 Genomic sequence,71179..71494,Peak,71319,316,35.51770283,1.31E-276,SAOUHSC_00065,0,SAOUHSC_00067,13
NCTC8325 Genomic sequence,1284400..1284712,Peak,1284540,313,35.48831006,3.72E-276,SAOUHSC_01343,413,SAOUHSC_1342a,0
NCTC8325 Genomic sequence,1510064..1510480,Peak,1510204,417,35.42062469,4.11E-275,SAOUHSC_01582,1566,SAOUHSC_01583,0
NCTC8325 Genomic sequence,678088..678385,Peak,678228,298,35.40618034,6.86E-275,SAOUHSC_00693,0,SAOUHSC_00694,945
NCTC8325 Genomic sequence,1811866..1812125,Peak,1812006,260,35.40439497,7.31E-275,SAOUHSC_01900,1143,SAOUHSC_01901,0
NCTC8325 Genomic sequence,507862..508141,Peak,508002,280,35.34594008,5.79E-274,SAOUHSC_00505,179,SAOUHSC_00507,25
NCTC8325 Genomic sequence,2629366..2629659,Peak,2629506,294,35.33041338,1.00E-273,SAOUHSC_02857,258,SAOUHSC_02858,0
NCTC8325 Genomic sequence,1803909..1804221,Peak,1804049,313,35.29077848,4.07E-273,SAOUHSC_01889,1985,SAOUHSC_01890,0
NCTC8325 Genomic sequence,2019043..2019378,Peak,2019239,336,35.25130319,1.64E-272,SAOUHSC_02145,172,SAOUHSC_02146,0
NCTC8325 Genomic sequence,2210330..2210641,Peak,2210470,312,35.24009618,2.43E-272,SAOUHSC_02389,20,SAOUHSC_02390,0
NCTC8325 Genomic sequence,2410155..2410444,Peak,2410306,290,35.20989319,7.06E-272,SAOUHSC_02621,47,SAOUHSC_02622,0
NCTC8325 Genomic sequence,2267396..2267690,Peak,2267536,295,35.15346345,5.15E-271,SAOUHSC_02442,487,SAOUHSC_02443,0
NCTC8325 Genomic sequence,2580745..2581031,Peak,2580892,287,35.07308506,8.67E-270,SAOUHSC_02802,112,SAOUHSC_02803,351
NCTC8325 Genomic sequence,814657..814984,Peak,814845,328,35.04139169,2.64E-269,SAOUHSC_00843,0,SAOUHSC_00844,0
NCTC8325 Genomic sequence,2269143..2269435,Peak,2269283,293,34.93869046,9.62E-268,SAOUHSC_02443,1685,SAOUHSC_02444,0
NCTC8325 Genomic sequence,792709..792997,Peak,792849,289,34.92631004,1.48E-267,SAOUHSC_00811,0,SAOUHSC_00812,0
NCTC8325 Genomic sequence,1245741..1246087,Peak,1245949,347,34.8927612,4.79E-267,SAOUHSC_01289,0,SAOUHSC_01290,0
NCTC8325 Genomic sequence,922139..922427,Peak,922279,289,34.87085174,1.03E-266,SAOUHSC_00948,57,SAOUHSC_00949,0
NCTC8325 Genomic sequence,100126..100459,Peak,100320,334,34.83385715,3.74E-266,SAOUHSC_00093,38,SAOUHSC_00094,0
NCTC8325 Genomic sequence,2293868..2294222,Peak,2294008,355,34.82751579,4.66E-266,SAOUHSC_02470,503,SAOUHSC_02471,0
NCTC8325 Genomic sequence,418620..418931,Peak,418792,312,34.80390777,1.06E-265,SAOUHSC_00414,381,SAOUHSC_00415,0
NCTC8325 Genomic sequence,148505..148804,Peak,148645,300,34.78705366,1.91E-265,SAOUHSC_00143,0,SAOUHSC_00144,240
NCTC8325 Genomic sequence,2004903..2005210,Peak,2005043,308,34.76380455,4.29E-265,SAOUHSC_02130,575,SAOUHSC_02131,0
NCTC8325 Genomic sequence,686387..686803,Peak,686665,417,34.73644525,1.11E-264,SAOUHSC_00700,329,SAOUHSC_00701,0
NCTC8325 Genomic sequence,944429..944776,Peak,944639,348,34.71678334,2.20E-264,SAOUHSC_00968,0,SAOUHSC_00969,520
NCTC8325 Genomic sequence,1085656..1085989,Peak,1085850,334,34.69328225,4.97E-264,SAOUHSC_01131,0,SAOUHSC_01133,157
NCTC8325 Genomic sequence,2575349..2575766,Peak,2575627,418,34.67803697,8.44E-264,SAOUHSC_02798,456,SAOUHSC_02799,0
NCTC8325 Genomic sequence,2476956..2477247,Peak,2477109,292,34.66938755,1.14E-263,SAOUHSC_02690,69,SAOUHSC_02691,0
NCTC8325 Genomic sequence,1710713..1711010,Peak,1710871,298,34.63727628,3.47E-263,SAOUHSC_01807,44,SAOUHSC_01808,0
NCTC8325 Genomic sequence,2568145..2568482,Peak,2568343,338,34.61533866,7.43E-263,SAOUHSC_02795,34,SAOUHSC_02796,0
NCTC8325 Genomic sequence,1325444..1325725,Peak,1325584,282,34.60292706,1.14E-262,SAOUHSC_01381,113,SAOUHSC_01382,0
NCTC8325 Genomic sequence,401878..402291,Peak,402156,414,34.59529779,1.49E-262,SAOUHSC_00398,0,SAOUHSC_00399,216
NCTC8325 Genomic sequence,738682..738997,Peak,738858,316,34.5560679,5.78E-262,SAOUHSC_00755,129,SAOUHSC_00756,0
NCTC8325 Genomic sequence,1430141..1430445,Peak,1430306,305,34.44635323,2.55E-260,asnC,2538,SAOUHSC_01472,0
NCTC8325 Genomic sequence,912867..913152,Peak,913006,286,34.41598758,7.27E-260,SAOUHSC_00938,320,SAOUHSC_00939,0
NCTC8325 Genomic sequence,1807780..1808066,Peak,1807920,287,34.349835,7.08E-259,SAOUHSC_01895,143,SAOUHSC_01896,0
NCTC8325 Genomic sequence,2420058..2420452,Peak,2420313,395,34.32235187,1.82E-258,SAOUHSC_02631,0,SAOUHSC_02632,0
NCTC8325 Genomic sequence,1634107..1634409,Peak,1634247,303,34.31456367,2.38E-258,SAOUHSC_01727,5,SAOUHSC_01728,3
NCTC8325 Genomic sequence,90944..91240,Peak,91102,297,34.29608384,4.49E-258,SAOUHSC_00083,0,SAOUHSC_00084,0
NCTC8325 Genomic sequence,499817..500108,Peak,499957,292,34.28583003,6.38E-258,SAOUHSC_R00012,1689,SAOUHSC_00497,0
NCTC8325 Genomic sequence,798919..799198,Peak,799059,280,34.27708694,8.61E-258,SAOUHSC_00816,30,SAOUHSC_00817,24
NCTC8325 Genomic sequence,1449900..1450304,Peak,1450040,405,34.23037805,4.27E-257,rpsA,130,SAOUHSC_A01436,0
NCTC8325 Genomic sequence,2485376..2485688,Peak,2485549,313,34.22679949,4.83E-257,SAOUHSC_02702,777,gpmA,0
NCTC8325 Genomic sequence,2565028..2565377,Peak,2565238,350,34.14612357,7.63E-256,SAOUHSC_02790,238,SAOUHSC_02791,0
NCTC8325 Genomic sequence,1876304..1876600,Peak,1876443,297,34.10542328,3.07E-255,SAOUHSC_01972,92,SAOUHSC_01973,0
NCTC8325 Genomic sequence,1752127..1752418,Peak,1752279,292,34.06827806,1.09E-254,SAOUHSC_01845,19,SAOUHSC_01846,128
NCTC8325 Genomic sequence,2166838..2167128,Peak,2166989,291,34.00942384,8.08E-254,SAOUHSC_02337,304,SAOUHSC_02338,0
NCTC8325 Genomic sequence,2365814..2366129,Peak,2365954,316,33.99396757,1.37E-253,SAOUHSC_02574,2,SAOUHSC_02575,0
NCTC8325 Genomic sequence,907328..907617,Peak,907478,290,33.96023027,4.31E-253,spxA,100,SAOUHSC_00935,0
NCTC8325 Genomic sequence,2594827..2595100,Peak,2594967,274,33.95333269,5.45E-253,SAOUHSC_02815,47,SAOUHSC_02816,225
NCTC8325 Genomic sequence,1085364..1085656,Peak,1085503,293,33.934796,1.02E-252,SAOUHSC_01130,56,SAOUHSC_01131,0
NCTC8325 Genomic sequence,1808086..1808377,Peak,1808238,292,33.89460529,4.00E-252,SAOUHSC_01895,449,SAOUHSC_01896,0
NCTC8325 Genomic sequence,211530..211948,Peak,211670,419,33.88197542,6.14E-252,SAOUHSC_00190,495,SAOUHSC_00191,0
NCTC8325 Genomic sequence,1551526..1551898,Peak,1551665,373,33.79282378,1.26E-250,SAOUHSC_01630,0,SAOUHSC_01632,87
NCTC8325 Genomic sequence,682306..682652,Peak,682513,347,33.78820059,1.47E-250,SAOUHSC_00697,45,SAOUHSC_00698,0
NCTC8325 Genomic sequence,2595100..2595395,Peak,2595256,296,33.73052569,1.03E-249,SAOUHSC_02815,320,SAOUHSC_02816,0
NCTC8325 Genomic sequence,924053..924342,Peak,924203,290,33.72631243,1.19E-249,SAOUHSC_00949,61,SAOUHSC_00950,0
NCTC8325 Genomic sequence,302117..302416,Peak,302277,300,33.72485954,1.25E-249,SAOUHSC_00287,0,SAOUHSC_00289,0
NCTC8325 Genomic sequence,941972..942261,Peak,942122,290,33.66626844,9.01E-249,SAOUHSC_00965,0,SAOUHSC_00966,0
NCTC8325 Genomic sequence,1152523..1152817,Peak,1152678,295,33.64770876,1.68E-248,rnc,0,SAOUHSC_01204,0
NCTC8325 Genomic sequence,2266498..2266833,Peak,2266638,336,33.61641345,4.83E-248,SAOUHSC_02437,648,SAOUHSC_02441,0
NCTC8325 Genomic sequence,2704933..2705347,Peak,2705073,415,33.53077243,8.58E-247,SAOUHSC_02936,1857,SAOUHSC_02937,0
NCTC8325 Genomic sequence,940919..941252,Peak,941113,334,33.49633627,2.73E-246,SAOUHSC_00962,991,SAOUHSC_00963,0
NCTC8325 Genomic sequence,2743983..2744325,Peak,2744123,343,33.42862254,2.63E-245,SAOUHSC_02976,3017,SAOUHSC_02978,0
NCTC8325 Genomic sequence,1509235..1509518,Peak,1509379,284,33.42034824,3.47E-245,SAOUHSC_01582,737,SAOUHSC_01583,0
NCTC8325 Genomic sequence,2598942..2599250,Peak,2599113,309,33.40621446,5.57E-245,SAOUHSC_02821,0,SAOUHSC_02822,671
NCTC8325 Genomic sequence,1080395..1080703,Peak,1080564,309,33.35700647,2.88E-244,SAOUHSC_01125,29,SAOUHSC_01127,0
NCTC8325 Genomic sequence,79468..79766,Peak,79608,299,33.35619585,2.96E-244,SAOUHSC_00072,956,SAOUHSC_00074,0
NCTC8325 Genomic sequence,10493..10773,Peak,10633,281,33.34841392,3.84E-244,SAOUHSC_00007,36,SAOUHSC_00008,119
NCTC8325 Genomic sequence,2574906..2575323,Peak,2575046,418,33.34607585,4.15E-244,SAOUHSC_02798,13,SAOUHSC_02799,0
NCTC8325 Genomic sequence,997294..997581,Peak,997442,288,33.31764032,1.07E-243,SAOUHSC_01026,0,SAOUHSC_01027,0
NCTC8325 Genomic sequence,2022056..2022335,Peak,2022194,280,33.27607654,4.28E-243,SAOUHSC_02148,316,SAOUHSC_02149,0
NCTC8325 Genomic sequence,795677..795998,Peak,795861,322,33.27219537,4.88E-243,SAOUHSC_00812,0,SAOUHSC_00816,1867
NCTC8325 Genomic sequence,1250643..1250926,Peak,1250783,284,33.24045158,1.40E-242,SAOUHSC_01303,0,SAOUHSC_01304,149
NCTC8325 Genomic sequence,1856863..1857144,Peak,1857003,282,33.22782335,2.14E-242,SAOUHSC_01951,2168,SAOUHSC_01952,0
NCTC8325 Genomic sequence,2569703..2570004,Peak,2569865,302,33.22740012,2.17E-242,SAOUHSC_02797,77,SAOUHSC_02798,4
NCTC8325 Genomic sequence,48457..48747,Peak,48597,291,33.20847,4.06E-242,SAOUHSC_00046,0,SAOUHSC_00047,742
NCTC8325 Genomic sequence,93345..93657,Peak,93485,313,33.19171109,7.09E-242,SAOUHSC_00086,110,SAOUHSC_00087,0
NCTC8325 Genomic sequence,1237268..1237595,Peak,1237408,328,33.16639189,1.64E-241,SAOUHSC_01279,0,miaA,94
NCTC8325 Genomic sequence,2297771..2298077,Peak,2297938,307,33.13112025,5.30E-241,SAOUHSC_02475,82,SAOUHSC_02476,0
NCTC8325 Genomic sequence,2084450..2084725,Peak,2084592,276,33.08469896,2.47E-240,SAOUHSC_02248,51,SAOUHSC_02249,0
NCTC8325 Genomic sequence,2709340..2709712,Peak,2709573,373,33.04869944,8.12E-240,SAOUHSC_02942,1476,SAOUHSC_02943,0
NCTC8325 Genomic sequence,604462..604838,Peak,604699,377,33.04796869,8.32E-240,SAOUHSC_00612,0,SAOUHSC_00613,251
NCTC8325 Genomic sequence,646988..647275,Peak,647137,288,32.9738574,9.63E-239,SAOUHSC_00659,140,SAOUHSC_00660,27
NCTC8325 Genomic sequence,2616748..2617055,Peak,2616887,308,32.91019128,7.86E-238,SAOUHSC_02841,112,SAOUHSC_02842,178
NCTC8325 Genomic sequence,1773585..1773943,Peak,1773804,359,32.87614144,2.41E-237,SAOUHSC_01866,327,SAOUHSC_01867,0
NCTC8325 Genomic sequence,407648..407937,Peak,407798,290,32.86822693,3.13E-237,SAOUHSC_00405,0,SAOUHSC_00406,134
NCTC8325 Genomic sequence,1142434..1142804,Peak,1142665,371,32.85515968,4.81E-237,SAOUHSC_01190,0,rpmB,169
NCTC8325 Genomic sequence,55204..55489,Peak,55350,286,32.79634331,3.32E-236,SAOUHSC_00051,0,SAOUHSC_00052,0
NCTC8325 Genomic sequence,2093588..2093887,Peak,2093748,300,32.72873393,3.05E-235,SAOUHSC_02259,680,SAOUHSC_02260,0
NCTC8325 Genomic sequence,199533..199828,Peak,199689,296,32.68861006,1.13E-234,SAOUHSC_00181,310,SAOUHSC_00182,0
NCTC8325 Genomic sequence,1174841..1175124,Peak,1174985,284,32.6728827,1.90E-234,SAOUHSC_01222,0,SAOUHSC_01223,0
NCTC8325 Genomic sequence,2553970..2554278,Peak,2554139,309,32.61939357,1.09E-233,SAOUHSC_02776,501,SAOUHSC_02777,0
NCTC8325 Genomic sequence,1078571..1078890,Peak,1078711,320,32.61077351,1.44E-233,SAOUHSC_01123,198,SAOUHSC_01124,0
NCTC8325 Genomic sequence,2408133..2408433,Peak,2408273,301,32.6039581,1.80E-233,SAOUHSC_02618,802,SAOUHSC_02619,0
NCTC8325 Genomic sequence,2450976..2451312,Peak,2451116,337,32.51738545,3.03E-232,SAOUHSC_02665,0,SAOUHSC_02666,0
NCTC8325 Genomic sequence,244938..245274,Peak,245078,337,32.51363085,3.42E-232,SAOUHSC_00223,0,ispD,0
NCTC8325 Genomic sequence,2244406..2244774,Peak,2244546,369,32.44593166,3.09E-231,SAOUHSC_R0005,49,SAOUHSC_02416,0
NCTC8325 Genomic sequence,1006317..1006635,Peak,1006457,319,32.36917834,3.73E-230,SAOUHSC_01036,103,SAOUHSC_01037,0
NCTC8325 Genomic sequence,2627800..2628119,Peak,2627940,320,32.36628294,4.09E-230,SAOUHSC_02853,179,SAOUHSC_02855,0
NCTC8325 Genomic sequence,957517..957820,Peak,957657,304,32.25460456,1.52E-228,SAOUHSC_00985,0,SAOUHSC_00986,0
NCTC8325 Genomic sequence,1172549..1172840,Peak,1172689,292,32.2030684,7.99E-228,SAOUHSC_01221,0,SAOUHSC_01222,0
NCTC8325 Genomic sequence,2423159..2423490,Peak,2423298,332,32.1828493,1.53E-227,SAOUHSC_02634,1369,SAOUHSC_02635,0
NCTC8325 Genomic sequence,1895659..1895960,Peak,1895799,302,32.15210158,4.13E-227,SAOUHSC_01991,141,SAOUHSC_01992,0
NCTC8325 Genomic sequence,2202022..2202303,Peak,2202165,282,32.14295839,5.54E-227,SAOUHSC_02379,171,deoD,0
NCTC8325 Genomic sequence,1547227..1547512,Peak,1547373,286,32.13208876,7.86E-227,SAOUHSC_01624,79,SAOUHSC_01625,108
NCTC8325 Genomic sequence,2447042..2447325,Peak,2447182,284,32.09921344,2.26E-226,SAOUHSC_02663,103,SAOUHSC_02664,1100
NCTC8325 Genomic sequence,689276..689587,Peak,689448,312,32.07640312,4.70E-226,SAOUHSC_00704,0,SAOUHSC_00705,0
NCTC8325 Genomic sequence,145137..145426,Peak,145277,290,32.06958707,5.85E-226,SAOUHSC_00139,0,SAOUHSC_00141,0
NCTC8325 Genomic sequence,1803441..1803823,Peak,1803581,383,32.01662221,3.20E-225,SAOUHSC_01889,1517,SAOUHSC_01890,0
NCTC8325 Genomic sequence,23905..24262,Peak,24045,358,32.01648785,3.22E-225,SAOUHSC_00019,177,SAOUHSC_T00018,0
NCTC8325 Genomic sequence,955471..955791,Peak,955611,321,31.93581986,4.25E-224,SAOUHSC_00983,0,SAOUHSC_00984,138
NCTC8325 Genomic sequence,2596411..2596697,Peak,2596558,287,31.86989329,3.49E-223,SAOUHSC_02817,366,SAOUHSC_02818,0
NCTC8325 Genomic sequence,1971376..1971680,Peak,1971516,305,31.84010592,9.02E-223,SAOUHSC_02096,24,SAOUHSC_02097,0
NCTC8325 Genomic sequence,2768008..2768306,Peak,2768148,299,31.83662052,1.01E-222,SAOUHSC_02991,26,SAOUHSC_02992,0
NCTC8325 Genomic sequence,1663187..1663603,Peak,1663464,417,31.78622191,5.02E-222,SAOUHSC_01762,522,SAOUHSC_01763,0
NCTC8325 Genomic sequence,2280650..2280937,Peak,2280798,288,31.76745518,9.12E-222,SAOUHSC_02455,1125,SAOUHSC_02456,0
NCTC8325 Genomic sequence,162203..162514,Peak,162343,312,31.75200825,1.49E-221,argC,1184,SAOUHSC_00150,0
NCTC8325 Genomic sequence,2425664..2425947,Peak,2425804,284,31.73519208,2.54E-221,SAOUHSC_02638,603,SAOUHSC_02640,183
NCTC8325 Genomic sequence,1371596..1371948,Peak,1371736,353,31.64844345,3.98E-220,SAOUHSC_01434,1106,thyA,0
NCTC8325 Genomic sequence,2144202..2144504,Peak,2144365,303,31.64834366,4.00E-220,SAOUHSC_02312,27,SAOUHSC_02313,0
NCTC8325 Genomic sequence,1852558..1852855,Peak,1852697,298,31.57920633,3.56E-219,SAOUHSC_01948,1047,SAOUHSC_01949,0
NCTC8325 Genomic sequence,1448281..1448575,Peak,1448438,295,31.52856047,1.76E-218,gpsA,1235,engA,0
NCTC8325 Genomic sequence,2383134..2383448,Peak,2383274,315,31.49501274,5.08E-218,SAOUHSC_02589,1752,SAOUHSC_02590,0
NCTC8325 Genomic sequence,2525458..2525742,Peak,2525603,285,31.4836773,7.27E-218,SAOUHSC_02746,558,SAOUHSC_02747,0
NCTC8325 Genomic sequence,1981347..1981652,Peak,1981513,306,31.40524108,8.58E-217,SAOUHSC_02107,19,SAOUHSC_02108,0
NCTC8325 Genomic sequence,942746..943058,Peak,942886,313,31.39855839,1.06E-216,SAOUHSC_00966,381,SAOUHSC_00967,0
NCTC8325 Genomic sequence,938803..939221,Peak,938943,419,31.35625712,4.00E-216,SAOUHSC_T0008,14,SAOUHSC_00961,0
NCTC8325 Genomic sequence,2211083..2211388,Peak,2211223,306,31.30934795,1.74E-215,SAOUHSC_02390,0,SAOUHSC_02391,720
NCTC8325 Genomic sequence,387835..388141,Peak,387975,307,31.25527915,9.46E-215,SAOUHSC_00382,12,SAOUHSC_00383,152
NCTC8325 Genomic sequence,1703988..1704286,Peak,1704147,299,31.21290656,3.56E-214,SAOUHSC_01802,319,SAOUHSC_01803,0
NCTC8325 Genomic sequence,431831..432137,Peak,431971,307,31.20674187,4.32E-214,SAOUHSC_00431,793,SAOUHSC_00433,0
NCTC8325 Genomic sequence,2185891..2186207,Peak,2186068,317,31.17194552,1.28E-213,rho,1600,SAOUHSC_02363,0
NCTC8325 Genomic sequence,1037949..1038298,Peak,1038089,350,31.05377208,5.07E-212,SAOUHSC_01070,984,SAOUHSC_01071,0
NCTC8325 Genomic sequence,2694326..2694642,Peak,2694466,317,30.94895642,1.31E-210,SAOUHSC_02927,91,SAOUHSC_02928,0
NCTC8325 Genomic sequence,961954..962253,Peak,962094,300,30.83914229,3.92E-209,SAOUHSC_00988,1527,SAOUHSC_00989,0
NCTC8325 Genomic sequence,2232554..2232859,Peak,2232720,306,30.8366244,4.23E-209,SAOUHSC_02403,7749,SAOUHSC_02404,0
NCTC8325 Genomic sequence,389188..389497,Peak,389358,310,30.83006567,5.18E-209,SAOUHSC_00383,213,SAOUHSC_00384,0
NCTC8325 Genomic sequence,2182203..2182501,Peak,2182342,299,30.76417689,3.95E-208,prfA,547,SAOUHSC_02360,0
NCTC8325 Genomic sequence,804444..804728,Peak,804589,285,30.7559063,5.10E-208,SAOUHSC_00826,7,SAOUHSC_00827,0
NCTC8325 Genomic sequence,2514862..2515151,Peak,2515002,290,30.71079274,2.04E-207,SAOUHSC_02732,1776,SAOUHSC_02733,0
NCTC8325 Genomic sequence,2544402..2544693,Peak,2544554,292,30.70122392,2.74E-207,SAOUHSC_02766,1557,SAOUHSC_02767,0
NCTC8325 Genomic sequence,30757..31069,Peak,30932,313,30.6833913,4.74E-207,SAOUHSC_00024,0,SAOUHSC_00025,0
NCTC8325 Genomic sequence,1677571..1677854,Peak,1677711,284,30.63574941,2.05E-206,hemA,657,engB,0
